LANGUAGE (NATIVE NAME)	HELLO
----------------------	-----
Amharic (አማርኛ)	ሠላም
Arabic ‏(العربيّة)	السّلام عليكم
Bengali (বাংলা)	নমস্কার
Braille	⠓⠑⠇⠇⠕
Burmese (မြန်မာ)	မင်္ဂလာပါ
C	printf ("Hello, world!\n");
Czech (čeština)	Dobrý den
Danish (dansk)	Hej / Goddag / Halløj
Dutch (Nederlands)	Hallo / Dag
Emacs	emacs --no-splash -f view-hello-file
English /ˈɪŋɡlɪʃ/	Hello
Esperanto	Saluton (Eĥoŝanĝo ĉiuĵaŭde)
Estonian (eesti keel)	Tere päevast / Tere õhtust
Finnish (suomi)	Hei / Hyvää päivää
French (français)	Bonjour / Salut
Georgian (ქართველი)	გამარჯობა
German (Deutsch)	Guten Tag / Grüß Gott
Greek (ελληνικά)	Γειά σας
Greek, ancient (ἑλληνική)	Οὖλέ τε καὶ μέγα χαῖρε
Gujarati (ગુજરાતી)	નમસ્તે
Hebrew ‏(עברית)	שלום
Hungarian (magyar)	Szép jó napot!
Hindi (हिंदी)	नमस्ते / नमस्कार ।
Italian (italiano)	Ciao / Buon giorno
Javanese (Jawa)	System.out.println("Sugeng siang!");
Kannada (ಕನ್ನಡ)	ನಮಸ್ಕಾರ
Khmer (ភាសាខ្មែរ)	ជំរាបសួរ
Lao (ພາສາລາວ)	ສະບາຍດີ / ຂໍໃຫ້ໂຊກດີ
Malayalam (മലയാളം)	നമസ്കാരം
Maltese (il-Malti)	Bonġu / Saħħa
Mathematics	∀ p ∈ world • hello p  □
Norwegian (norsk)	Hei / God dag
Oriya (ଓଡ଼ିଆ)	ଶୁଣିବେ
Polish  (język polski)	Dzień dobry! / Cześć!
Russian (русский)	Здра́вствуйте!
Sinhala (සිංහල)	ආයුබෝවන්
Slovak (slovenčina)	Dobrý deň
Slovenian (slovenščina)	Pozdravljeni!
Spanish (español)	¡Hola!
Swedish (svenska)	Hej / Goddag / Hallå
Tamil (தமிழ்)	வணக்கம்
Telugu (తెలుగు)	నమస్కారం
Thai (ภาษาไทย)	สวัสดีครับ / สวัสดีค่ะ
Tibetan (བོད་སྐད་)	བཀྲ་ཤིས་བདེ་ལེགས༎
Tigrigna (ትግርኛ)	ሰላማት
Turkish (Türkçe)	Merhaba
Ukrainian (українська)	Вітаю
Vietnamese (tiếng Việt)	Chào bạn

Japanese (日本語)	こんにちは / ｺﾝﾆﾁﾊ
Chinese (中文,普通话,汉语)	你好
Cantonese (粵語,廣東話)	早晨, 你好
Korean (한글)	안녕하세요 / 안녕하십니까
